rotten_tomatoes_link,movie_title,content_rating,genre,directors,original_release_date,streaming_release_date,runtime,production_company,audience_rating,audience_count
m/1007110-farewell_my_lovely,"Farewell, My Lovely",R,DRAMA,"Dick Richards, R.M. Richards",1975-08-20,2018-08-01,97,AVCO Embassy Pictures,73,1470
m/1007141-fatal_attraction,Fatal Attraction,R,DRAMA,Adrian Lyne,1987-09-11,2013-08-01,119,Paramount Pictures,72,53027
m/1007154-father_of_the_bride,Father of the Bride,G,COMEDY,Vincente Minnelli,1950-01-01,2009-01-01,93,MGM,74,13901
m/1007350-fire_and_ice,Fire and Ice,PG,ACTION & ADVENTURE,Ralph Bakshi,1983-08-26,2016-08-10,81,Blue Underground,53,8565
m/1007517-flash_gordon,Flash Gordon,PG,ACTION & ADVENTURE,Mike Hodges,1980-12-05,2012-06-15,110,Universal Pictures,69,46719
m/1007522-flashback,Flashback,R,COMEDY,Franco Amurri,1990-02-02,2016-08-10,108,Paramount,60,5804
m/1007538-flesh_and_blood,Flesh & Blood (Flesh+Blood) (The Rose and the Sword),R,ACTION & ADVENTURE,Paul Verhoeven,1985-08-30,2016-11-15,126,MGM,63,4358
m/1007555-flight_of_the_phoenix,The Flight of the Phoenix,NR,ACTION & ADVENTURE,Robert Aldrich,1965-12-15,2016-08-10,147,20th Century Fox Film Corporation,81,9209
m/1007573-flipper,Flipper,G,ACTION & ADVENTURE,James B. Clark,1963-08-14,2009-01-01,90,MGM Home Entertainment,49,26368
m/1007600-fly,The Fly,NR,HORROR,Kurt Neumann,1958-07-16,2015-11-25,94,Fox,70,11153
m/1007602-fly,The Fly,R,DRAMA,David Cronenberg,1986-08-15,2015-11-25,95,Fox,83,89948
m/1007615-flying_tigers,Flying Tigers,NR,ACTION & ADVENTURE,David Miller,1942-01-01,2016-11-24,102,Republic,68,789
m/1007657-footloose,Footloose,PG,DRAMA,Herbert Ross,1984-02-17,2013-08-01,107,Paramount Home Video,71,270317
m/1007745-four_feathers,The Four Feathers,NR,ACTION & ADVENTURE,Zoltan Korda,1939-08-03,2017-03-23,115,Criterion Collection,85,2888
m/1007832-frantic,Frantic,R,ACTION & ADVENTURE,Roman Polanski,1988-02-26,2008-08-18,120,Warner Home Video,64,22087
m/1007839-freaky_friday,Freaky Friday,G,COMEDY,Gary Nelson,1976-12-17,2015-12-13,95,Disney,57,65759
m/1007910-fright_night,Fright Night,R,HORROR,Tom Holland,1985-01-01,2012-04-16,106,Sony Pictures Home Entertainment,76,49729
m/1007931-from_here_to_eternity,From Here to Eternity,G,DRAMA,Fred Zinnemann,1953-08-05,2012-04-16,118,NCM Fathom,84,14883
m/1007962-fugitive,The Fugitive,NR,DRAMA,John Ford,1947-11-03,2017-01-06,104,RKO Pictures,61,579
m/1007977-fun_with_dick_and_jane,Fun with Dick and Jane,PG,COMEDY,Ted Kotcheff,,2012-04-16,95,Sony Pictures Entertainment,51,5489
m/1007990-funny_farm,Funny Farm,PG,COMEDY,George Roy Hill,1988-06-03,2008-10-03,103,Warner Home Video,50,25811
m/1008015-fury,The Fury,R,DRAMA,Brian DePalma,1978-01-01,2016-04-03,118,Fox,49,5203
m/1008055-galaxy_of_terror,Galaxy of Terror (Mindwarp: An Infinity of Terror) (Planet of Horrors) (Quest),R,ACTION & ADVENTURE,"B.D. Clark, Bruce D. Clark",1981-10-21,2018-05-03,80,New World Pictures,29,1098
m/1008074-gallipoli,Gallipoli,PG,DRAMA,Peter Weir,1981-08-07,2013-08-01,110,Paramount Home Video,83,23113
m/1008080-gambler,The Gambler,R,DRAMA,Karel Reisz,1974-01-01,2016-02-19,109,Paramount Pictures,77,1242
m/1008085-game_of_death,Game of Death,R,ACTION & ADVENTURE,Robert Clouse,1978-03-01,2017-01-24,102,Twentieth Century Fox Home Entertainment,64,32560
m/1008166-general,The General,R,COMEDY,"Clyde Bruckman, Buster Keaton",1927-02-05,2016-09-01,83,United Artists Films,92,11508
m/1008243-getaway,The Getaway,R,ACTION & ADVENTURE,Sam Peckinpah,1972-12-13,2014-02-01,122,Warner Bros. Pictures,81,9710
m/1008358-girls_girls_girls,Girls! Girls! Girls!,PG,COMEDY,Norman Taurog,1962-11-21,2015-07-25,106,Paramount Pictures,50,7958
m/1008407-gloria,Gloria,PG,ACTION & ADVENTURE,John Cassavetes,1980-10-01,2012-01-01,121,Columbia Pictures Corporation,80,4691
m/1008415-glory,Glory,R,DRAMA,Edward Zwick,1989-12-15,2012-04-16,122,TriStar,93,60231
m/1008437-go_west,Go West,NR,COMEDY,Edward Buzzell,1940-06-01,2008-08-25,81,MGM Home Entertainment,59,2687
m/1008588-gone_in_60_seconds,Gone in 60 Seconds,PG,ACTION & ADVENTURE,H.B. Halicki,1974-07-28,2017-05-22,105,H.B. Halicki Mercantile Co.,66,196417
m/1008623-goodbye_girl,The Goodbye Girl,PG,COMEDY,Herbert Ross,1977-11-30,2016-07-14,110,MGM Home Entertainment,84,7479
m/1008627-goodbye_mr_chips,"Goodbye, Mr. Chips",NR,COMEDY,Sam Wood,1939-07-28,2015-09-11,114,MGM Home Entertainment,87,5661
m/1008799-great_gatsby,The Great Gatsby,PG,DRAMA,Jack Clayton,1974-03-29,2016-08-10,144,Paramount Pictures,47,20775
m/1008852-great_race,The Great Race,G,ACTION & ADVENTURE,Blake Edwards,1965-07-01,2016-09-30,150,Warner Home Video,83,8794
m/1008931-green_berets,The Green Berets,G,ACTION & ADVENTURE,"John Wayne, Ray Kellogg",1968-06-19,2015-05-08,141,Warner Home Video,61,9630
m/1008968-grizzly,Grizzly,PG,HORROR,William Girdler,1976-05-21,2016-11-18,90,Film Ventures International (FVI),31,1789
m/1008981-group,The Group,PG,DRAMA,Sidney Lumet,1966-03-04,2017-04-18,150,United Artists,58,261
m/1009027-gullivers_travels,Gulliver's Travels,NR,ACTION & ADVENTURE,Dave Fleischer,1939-12-22,2016-08-11,74,Koch Vision,53,7274
m/1009055-gunfighter,The Gunfighter,NR,ACTION & ADVENTURE,Henry King,1950-06-23,2015-11-25,84,Twentieth Century Fox,89,1308
m/1009058-gung_ho,Gung Ho,PG-13,COMEDY,Ron Howard,1986-03-14,2014-06-06,111,Paramount Home Video,46,7129
m/1009096-hairspray,Hairspray,PG,COMEDY,John Waters,1988-02-26,2008-12-01,90,New Line Home Entertainment,80,64156
m/1009113-halloween,Halloween,R,HORROR,John Carpenter,1978-10-25,2017-03-18,91,Compass International Pictures,89,303224
m/1009123-hamlet,Hamlet,NR,DRAMA,Laurence Olivier,1948-05-04,2017-03-23,153,Universal,80,7542
m/1009131-hand,The Hand,R,DRAMA,Oliver Stone,1981-04-24,2012-06-16,104,Warner Home Video,28,1904
m/1009211-hard_times,Hard Times,PG,ACTION & ADVENTURE,Walter Hill,,2014-05-14,92,Sony Pictures Home Entertainment,81,4116
m/1009219-hardcore,Hardcore,R,DRAMA,Paul Schrader,1979-01-01,2014-05-14,108,Sony Pictures Entertainment,67,2414
m/1009224-harder_they_fall,The Harder They Fall,NR,DRAMA,Mark Robson,1956-01-01,2012-04-16,109,Sony Pictures Entertainment,80,2130
m/1009277-haunting,The Haunting,G,HORROR,Robert Wise,1963-09-18,2009-01-01,112,Paramount Pictures,82,19339
m/1009293-hawaii,Hawaii,NR,ACTION & ADVENTURE,George Roy Hill,1966-10-10,2017-05-21,181,United Artists,53,1541
m/1009399-heat,Heat,R,ACTION & ADVENTURE,R.M. Richards,1986-11-12,2016-08-10,102,Paramount Pictures,26,163
m/1009427-heaven_can_wait,Heaven Can Wait,PG,COMEDY,"Warren Beatty, Buck Henry",1978-06-28,2017-01-01,101,Paramount Home Video,68,13232
m/1009437-heidi,Heidi,G,ACTION & ADVENTURE,Allan Dwan,1937-10-15,2015-11-25,88,Twentieth Century Fox Home Entertainment,74,18184
m/1009583-hidden_fortress,The Hidden Fortress (kakushi-toride No San-akunin),NR,ACTION & ADVENTURE,Akira Kurosawa,1958-01-01,2017-01-07,139,Media Home Entertainment,93,17494
m/1009645-hills_have_eyes,The Hills Have Eyes,R,HORROR,Wes Craven,1977-07-22,2016-10-11,83,Laser Media,54,51983
m/1009649-hindenburg,The Hindenburg,PG,ACTION & ADVENTURE,"Robert Wise, John A. Bolger, Jr.",1975-01-01,2016-05-19,125,Universal Pictures,37,2249
m/1009691-hit,The Hit,R,ACTION & ADVENTURE,Stephen Frears,1984-09-12,2009-04-28,98,Central Productions,75,2196
m/1009736-hole_in_the_head,A Hole in the Head,NR,COMEDY,Frank Capra,1959-07-15,2016-11-18,120,MGM,49,2232
m/1009972-hot_pursuit,Hot Pursuit,PG-13,COMEDY,Steven Lisberger,1987-05-08,2016-09-06,92,Paramount Pictures,43,3888
m/100_bloody_acres_2013,100 Bloody Acres,NR,COMEDY,"Colin Cairnes, Cameron Cairnes",2013-06-28,2016-08-10,91,Doppelganger Releasing,47,1642
m/100_girls,100 Girls,R,COMEDY,Michael Davis,2000-09-01,2016-10-22,95,Dream Entertainment,50,39832
m/100_streets,100 Streets,NR,DRAMA,Jim O'Hanlon,2017-01-13,2017-04-04,93,Green Door Pictures,36,1547
m/1010002-hound_of_the_baskervilles,The Hound of the Baskervilles,NR,DRAMA,Sidney Lanfield,1939-03-31,2017-04-03,80,20th Century Fox,83,6267
m/1010012-house,"House (Ding Dong, You're Dead)",R,COMEDY,Steve Miner,1986-02-28,2015-01-14,92,New World Video,46,12925
m/1010030-house_of_wax,House of Wax,PG,DRAMA,André De Toth,1953-04-10,2016-04-19,88,Warner Bros. Pictures,72,41371
m/1010034-house_on_haunted_hill,House On Haunted Hill,PG,DRAMA,William Castle,1959-02-17,2008-05-01,75,Allied Artists,73,22826
m/1010174-hud,Hud,NR,DRAMA,Martin Ritt,1963-05-29,2016-08-10,112,Paramount Pictures,89,8429
m/1010202-human_factor,The Human Factor,R,DRAMA,Otto Preminger,1979-12-18,2012-04-16,115,United Artists,23,103
m/1010214-hunchback_of_notre_dame,The Hunchback of Notre Dame,PG,DRAMA,"Wallace Worsley, Wallace Worsley Sr.",1923-09-02,2015-08-07,93,Gravitas,76,2958
m/1010215-hunchback_of_notre_dame,The Hunchback of Notre Dame,NR,DRAMA,William Dieterle,,2009-01-01,116,Sony Pictures Entertainment,87,7622
m/1010230-hunter,The Hunter,PG,ACTION & ADVENTURE,Buzz Kulik,1980-10-01,2016-08-10,97,Paramount Home Video,49,3325
m/1010249-hustle,Hustle,R,ACTION & ADVENTURE,Robert Aldrich,1975-12-25,2016-08-10,120,Paramount Pictures,48,1297
m/1010263-i_the_jury,"I, the Jury",R,ACTION & ADVENTURE,Richard T. Heffron,1982-04-22,2015-11-25,110,Fox,39,358
m/1010417-imitation_of_life,Imitation of Life,NR,DRAMA,Douglas Sirk,1959-04-30,2014-03-18,125,Universal Studios,91,9590
m/1010431-importance_of_being_earnest,The Importance of Being Earnest,PG,COMEDY,Anthony Asquith,,2017-02-18,95,General Film Distributors,83,3379
m/1010440-impulse,Impulse,R,ACTION & ADVENTURE,Sondra Locke,1990-04-06,2014-12-03,108,Warner Home Video,21,77
m/1010448-in_cold_blood,In Cold Blood,R,DRAMA,Richard Brooks,1967-12-14,2012-04-16,134,Columbia Pictures,88,8635
m/1010526-incubus,The Incubus,R,HORROR,John Hough,1982-09-03,2016-11-18,92,Film Ventures International,22,1278
m/1010540-indiscreet,Indiscreet,PG,COMEDY,Stanley Donen,1958-05-20,2015-11-19,100,Warner Bros.,69,5977
m/1010553-informer,The Informer,NR,DRAMA,John Ford,1935-05-01,2015-05-07,91,Media Home Entertainment,77,1081
m/1010555-inherit_the_wind,Inherit the Wind,PG,DRAMA,Stanley Kramer,1960-11-01,2016-12-17,127,MGM Home Entertainment,91,9642
m/1010672-invaders_from_mars,Invaders from Mars,NR,SCIENCE FICTION & FANTASY,William Cameron Menzies,1953-04-22,2017-08-08,73,20th Century Fox Film Corporation,56,2765
m/1010673-invaders_from_mars,Invaders From Mars,PG,HORROR,Tobe Hooper,1986-06-06,2017-05-04,98,Media Home Entertainment,33,3514
m/1010678-invasion_of_the_body_snatchers,Invasion of the Body Snatchers,PG,SCIENCE FICTION & FANTASY,Don Siegel,1956-01-01,2016-10-01,80,Republic Pictures Home Video,85,19182
m/1010679-invasion_of_the_body_snatchers,Invasion of the Body Snatchers,PG,HORROR,Philip Kaufman,1978-12-22,2017-01-27,115,MGM Home Entertainment,81,35411
m/1010695-invisible_man,The Invisible Man,NR,COMEDY,James Whale,1933-11-13,2016-04-19,71,Realart Pictures Inc.,85,11170
m/1010745-island,The Island,R,DRAMA,Michael Ritchie,1980-06-13,2016-04-19,114,Universal Pictures,51,7403
m/1010752-island_of_dr_moreau,The Island of Dr. Moreau,PG,ACTION & ADVENTURE,Don Taylor,1977-07-13,2016-11-30,98,MGM,40,2513
m/1010762-islands_in_the_stream,Islands in the Stream,PG,DRAMA,Franklin J. Schaffner,1977-03-09,2016-08-10,105,Paramount Pictures,63,127
m/1010770-it,It,NR,COMEDY,"Clarence Badger, Josef von Sternberg, Clarence G. Badger",1927-02-15,2017-05-01,72,Critics' Choice Video,81,4773
m/1010793-its_alive,It's Alive,R,DRAMA,Larry Cohen,1973-12-31,2016-04-19,90,Warner Home Video,40,6171
m/1010824-ivanhoe,Ivanhoe,G,ACTION & ADVENTURE,Richard Thorpe,1952-07-31,2013-12-03,106,MGM Home Entertainment,64,5038
m/1010837-jack_and_the_beanstalk,Jack and the Beanstalk,G,COMEDY,Jean Yarbrough,1952-04-12,2014-11-07,78,VCI,38,437
m/1010889-jamaica_inn,Jamaica Inn,NR,ACTION & ADVENTURE,Alfred Hitchcock,1939-10-13,2016-12-09,99,Paramount Pictures,36,4025
m/1010939-jason_and_the_argonauts,Jason and the Argonauts,G,ACTION & ADVENTURE,Don Chaffey,1963-06-19,2012-04-16,104,Columbia Pictures,79,22745
m/1010978-jazz_singer,The Jazz Singer,NR,DRAMA,Alan Crosland,1927-10-06,2009-01-01,97,Warner Bros.,56,4506
m/1010979-jazz_singer,The Jazz Singer,PG,DRAMA,Richard Fleischer,1980-12-19,2016-10-06,115,LionsGate Entertainment,70,4953
m/1011028-jesus_christ_superstar,Jesus Christ Superstar,G,DRAMA,Norman Jewison,1973-08-15,2016-04-19,107,Universal Studios,76,36376
m/1011176-johnny_belinda,Johnny Belinda,NR,DRAMA,Jean Negulesco,1948-09-14,2016-11-21,102,Warner Bros. Pictures,88,1429
m/1011295-judex,Judex,NR,ACTION & ADVENTURE,Georges Franju,1963-12-04,2016-09-09,95,CFFP,82,390
m/1011328-julius_caesar,Julius Caesar,NR,DRAMA,Joseph L. Mankiewicz,1953-06-03,2008-01-01,121,MGM Home Entertainment,81,5248
m/1011329-julius_caesar,Julius Caesar,G,ACTION & ADVENTURE,Stuart Burge,1970-01-01,2018-11-06,117,VCI,35,2698
m/1011338-jungle_book,Jungle Book,G,ACTION & ADVENTURE,Zoltan Korda,1942-01-01,2014-08-19,109,Gravitas,56,897
m/1011392-kansas,Kansas,R,ACTION & ADVENTURE,David Stevens,1988-01-01,2017-02-07,110,Media Home Entertainment,19,1402
m/1011487-kickboxer,Kickboxer,R,ACTION & ADVENTURE,"David Worth, Mark DiSalle",1989-09-08,2017-01-04,105,HBO Video,65,51359
m/1011495-kid_galahad,Kid Galahad,G,DRAMA,Phil Karlson,1962-01-01,2005-12-06,95,MGM Home Entertainment,57,5126
m/1011558-killer_elite,The Killer Elite,PG,ACTION & ADVENTURE,Sam Peckinpah,1975-12-17,2017-04-12,122,MGM Home Entertainment,34,2003
m/1011605-king_and_i,The King and I,G,ROMANCE,Walter Lang,1956-06-29,2015-11-25,133,20th Century Fox,83,61003
m/1011615-king_kong,King Kong,G,ACTION & ADVENTURE,"Ernest B. Schoedsack, Merian C. Cooper",1933-01-01,2008-11-28,100,RKO Pictures,86,90136
m/1011617-king_kong,King Kong,PG,ACTION & ADVENTURE,John Guillermin,1976-12-17,2017-01-02,134,Paramount Pictures,31,57614
m/1011623-king_of_comedy,The King of Comedy,PG,COMEDY,Martin Scorsese,1983-01-01,2015-12-09,101,Fox,90,27041
m/1011626-king_of_kings,King of Kings,PG-13,DRAMA,Nicholas Ray,1961-10-30,2008-11-01,160,MGM Home Entertainment,77,4345
m/1011638-king_solomons_mines,King Solomon's Mines,G,ACTION & ADVENTURE,"Compton Bennett, Andrew Marton",1950-11-24,2012-04-16,102,MGM Home Entertainment,59,3242
m/1011818-ladykillers,The Ladykillers,NR,COMEDY,Alexander Mackendrick,1955-12-08,2016-10-06,90,Ealing Studios,87,10533
m/1012164-legend,Legend,PG,DRAMA,Ridley Scott,1985-04-18,2015-12-03,89,Universal Pictures,73,101568
m/1012225-les_miserables,Les Miserables,NR,DRAMA,Richard Boleslawski,1935-04-20,2012-09-18,108,20th Century Fox Film Corporation,85,3463
m/1012264-letter,The Letter,PG,DRAMA,William Wyler,1940-11-23,2017-03-12,95,MGM Home Entertainment,82,3725
m/1012370-lilies_of_the_field,Lilies of the Field,NR,COMEDY,Ralph Nelson,1963-01-01,2017-02-02,94,Twentieth Century Fox Home Entertainment,86,6139
m/1012386-lion_in_winter,The Lion in Winter,PG,DRAMA,Anthony Harvey,1968-10-30,2016-08-09,132,Nelson Entertainment,90,13105
m/1012439-little_lord_fauntleroy,Little Lord Fauntleroy,NR,DRAMA,John Cromwell,1936-04-02,2016-10-18,98,United Artists,73,1541
m/1012478-little_princess,The Little Princess,G,COMEDY,"William A. Seiter, Walter Lang",1939-03-10,2016-07-02,91,Slingshot Entertainment,81,15278
m/1012506-little_romance,A Little Romance,PG,COMEDY,George Roy Hill,1979-04-27,2003-01-07,108,WARNER BROTHERS PICTURES,85,5213
m/1012514-little_shop_of_horrors,The Little Shop of Horrors,R,COMEDY,Roger Corman,1960-09-14,2012-10-13,70,The Filmgroup Inc.,55,54898
m/1012515-little_shop_of_horrors,Little Shop of Horrors,PG-13,COMEDY,Frank Oz,1986-12-19,2008-08-15,93,Warner Bros. Pictures,79,181640
m/1012524-little_women,Little Women,NR,DRAMA,George Cukor,1933-11-16,2008-01-01,116,WARNER BROTHERS PICTURES,78,9776
m/1012525-little_women,Little Women,G,DRAMA,Mervyn LeRoy,1949-03-10,2008-01-01,121,Metro-Goldwyn-Mayer (MGM),83,9808
m/1012605-lock_up,Lock Up,R,ACTION & ADVENTURE,"John Flynn, John J. Flynn Jr.",1989-08-04,2016-08-26,103,Live Home Video,50,15515
m/1012611-lolita,Lolita,NR,COMEDY,Stanley Kubrick,1962-06-13,2008-12-31,152,MGM,84,46005
m/1012647-long_days_journey_into_night,Long Day's Journey Into Night,NR,DRAMA,Sidney Lumet,1962-01-01,2018-11-06,174,Republic Pictures Home Video,86,3067
m/1012662-long_hot_summer,"The Long, Hot Summer",NR,DRAMA,Martin Ritt,1958-01-01,2015-10-28,115,20th Century Fox,82,6137
m/1012665-longest_yard,The Longest Yard,R,ACTION & ADVENTURE,Robert Aldrich,1974-08-30,2014-06-06,121,Paramount Home Video,75,81341
m/1012672-look_back_in_anger,Look Back in Anger,NR,DRAMA,Tony Richardson,1958-01-01,2017-08-28,99,MGM Home Entertainment,76,1295
m/1012772-lost_patrol,The Lost Patrol,NR,ACTION & ADVENTURE,John Ford,1934-02-16,2016-11-21,74,Media Home Entertainment,65,439
m/1012813-love_bug,The Love Bug,G,ACTION & ADVENTURE,Robert Stevenson,1969-03-13,2016-07-01,107,Disney,66,39845
m/1012871-lovesick,Lovesick,PG,COMEDY,Marshall Brickman,1983-02-18,2009-01-01,95,Warner Home Video,29,802
m/1012920-lust_for_life,Lust for Life,PG,DRAMA,Vincente Minnelli,1956-01-01,2008-05-01,122,MGM,81,3271
m/1012928-m,M,NR,DRAMA,Fritz Lang,1931-08-31,2016-08-10,99,Foremco,95,36181
m/1012993-madame_x,Madame X,NR,DRAMA,David Lowell Rich,1966-04-27,2016-08-30,99,Universal,80,681
m/1013004-made_in_heaven,Made in Heaven,PG,COMEDY,Alan Rudolph,,2016-06-28,102,Lorimar Home Video,83,3887
m/1013035-magic_flute,The Magic Flute (Trollflöjten),G,COMEDY,Ingmar Bergman,1975-11-11,2018-11-20,134,Sveriges Radio,85,4554
m/1013071-magnificent_ambersons,The Magnificent Ambersons,NR,DRAMA,Orson Welles,1942-07-10,2014-07-01,88,RKO Radio Pictures,85,6468
m/1013077-magnificent_seven,The Magnificent Seven,R,ACTION & ADVENTURE,John Sturges,1960-01-01,2015-09-24,126,MGM Home Entertainment,87,54026
m/1013089-main_event,The Main Event,PG,COMEDY,Howard Zieff,1979-06-22,2008-11-07,112,WARNER BROTHERS PICTURES,42,2366
m/1013139-maltese_falcon,The Maltese Falcon,PG,DRAMA,John Huston,1941-10-18,2016-05-19,100,Warner Bros.,91,57852
m/1013162-man_for_all_seasons,A Man for All Seasons,G,DRAMA,Fred Zinnemann,1966-12-12,2012-04-16,120,Sony Pictures Home Entertainment,87,9774
m/1013227-manchurian_candidate,The Manchurian Candidate,PG-13,DRAMA,John Frankenheimer,1962-10-24,2016-11-30,126,MGM/UA Classics,90,31367
m/1013238-manhattan_project,The Manhattan Project,PG-13,ACTION & ADVENTURE,Marshall Brickman,1986-06-13,2016-11-30,117,HBO Video,46,5189
m/1013248-manhunter,Manhunter,R,ACTION & ADVENTURE,Michael Mann,1986-08-15,2016-04-19,119,Anchor Bay Entertainment,77,53295
m/1013259-mannequin,Mannequin,PG,COMEDY,Michael Gottlieb,1987-02-13,2016-12-16,89,20th Century Fox Film Corporat,55,44732
m/1013380-mark_of_zorro,The Mark of Zorro,NR,ACTION & ADVENTURE,Fred Niblo,1920-12-05,2017-04-02,90,United Artists,71,4985
m/1013427-marty,Marty,NR,DRAMA,Delbert Mann,1955-04-11,2017-01-19,91,MGM Home Entertainment,87,6757
m/1013488-masquerade,Masquerade,R,HORROR,Bob Swaim,1988-03-11,2016-11-30,90,MGM,50,1535
m/1013632-mechanic,The Mechanic,R,ACTION & ADVENTURE,Michael Winner,1972-01-01,2017-01-12,100,United Artists,66,4721
m/1013711-men,The Men,NR,DRAMA,Fred Zinnemann,1950-07-20,2020-02-03,86,Columbia Pictures,74,1456
m/1013772-meteor,Meteor,PG,ACTION & ADVENTURE,Ronald Neame,1979-10-19,2017-04-29,107,American International Pictures,12,937
m/1013775-metropolis,Metropolis,PG-13,ACTION & ADVENTURE,Fritz Lang,1927-03-13,2016-12-21,123,Paramount Pictures,92,62873
m/1013867-midsummer_nights_dream,A Midsummer Night's Dream,NR,COMEDY,"William Dieterle, Max Reinhardt",1935-10-09,2009-01-01,132,Warner Bros.,62,1229
m/1013884-mighty_joe_young,Mighty Joe Young,PG,ACTION & ADVENTURE,Ernest B. Schoedsack,1949-01-01,2016-05-23,94,RKO Radio Pictures Inc.,63,7776
m/1013973-miracle_worker,The Miracle Worker,NR,DRAMA,Arthur Penn,1962-07-28,2016-12-02,106,MGM Home Entertainment,88,8840
m/1014008-missing_in_action,Missing in Action,R,ACTION & ADVENTURE,Joseph Zito,1984-01-01,2017-04-28,102,MGM Home Entertainment,42,12330
m/1014027-mission,The Mission,PG,DRAMA,Roland Joffé,1986-10-31,2012-04-16,128,Warner Home Video,87,38896
m/1014061-mister_roberts,Mister Roberts,NR,COMEDY,"John Ford, Mervyn LeRoy",1955-07-30,2012-04-16,123,Warner Home Video,84,6728
m/1014090-moby_dick,Moby Dick,G,ACTION & ADVENTURE,John Huston,1956-06-27,2017-04-13,116,MGM,73,8333
m/1014137-monkey_business,Monkey Business,NR,COMEDY,"Norman McLeod, Norman Z. McLeod",1931-09-19,2017-02-11,78,MCA Universal Home Video,84,7678
m/1014138-monkey_business,Monkey Business,PG,COMEDY,Howard Hawks,1952-09-05,2015-11-25,97,Twentieth Century Fox Home Entertainment,68,8745
m/1014217-moonraker,Moonraker,PG,ACTION & ADVENTURE,Lewis Gilbert,1979-06-29,2016-10-01,126,United Artists,43,58078
m/1014246-morning_glory,Morning Glory,NR,DRAMA,Lowell Sherman,1933-08-18,2009-01-01,74,Media Home Entertainment,45,836
m/1014294-moulin_rouge,Moulin Rouge,NR,DRAMA,John Huston,1952-12-23,2017-04-13,123,United Artists,90,68249
m/1014325-mr_and_mrs_smith,Mr. & Mrs. Smith,NR,COMEDY,Alfred Hitchcock,1941-01-31,2008-08-15,95,RKO Radio Pictures,48,4837
m/1014352-mrs_soffel,Mrs. Soffel,PG-13,DRAMA,Gillian Armstrong,1984-12-26,2012-04-16,112,MGM Home Entertainment,45,3305
m/1014370-mummy,The Mummy,NR,HORROR,Karl W. Freund,1932-12-22,2016-04-19,72,Universal Pictures,72,12317
m/1014372-mummy,The Mummy,G,HORROR,Terence Fisher,1959-01-01,2009-01-01,88,WARNER BROTHERS PICTURES,64,7715
m/1014396-murder,Murder!,NR,DRAMA,Alfred Hitchcock,1930-01-01,2015-09-10,92,LionsGate Entertainment,39,1461
m/1014453-music_man,The Music Man,G,ROMANCE,Morton DaCosta,1962-06-19,2016-04-19,151,Warner Bros. Pictures,85,30549
m/1014481-mutiny_on_the_bounty,Mutiny on the Bounty,NR,ACTION & ADVENTURE,Frank Lloyd,1935-11-08,2017-03-07,132,MGM,83,8061
m/1014482-mutiny_on_the_bounty,Mutiny on the Bounty,NR,ACTION & ADVENTURE,"Lewis Milestone, Carol Reed",1962-11-08,2016-10-20,179,WARNER BROTHERS PICTURES,73,4471
m/1014536-my_man_godfrey,My Man Godfrey,G,COMEDY,Gregory La Cava,1936-09-06,2014-02-12,95,Universal Pictures,90,7647
m/1014592-mysterious_island,Mysterious Island,PG,ACTION & ADVENTURE,"Cyril Endfield, Cy Endfield",1961-08-01,2012-04-16,101,Columbia Pictures,63,3246
m/1014793-near_dark,Near Dark,R,HORROR,Kathryn Bigelow,1987-10-02,2006-03-07,95,Lions Gate Films,74,24791
m/1014804-neighbors,Neighbors,R,COMEDY,John G. Avildsen,1981-12-18,2014-01-01,94,Sony Pictures Entertainment,49,5922
m/1014946-next_of_kin,Next of Kin,R,ACTION & ADVENTURE,John Irvin,1989-10-20,2009-01-01,108,Warner Home Video,45,9637
m/1014986-nicholas_and_alexandra,Nicholas and Alexandra,PG,DRAMA,Franklin J. Schaffner,1971-12-13,2014-01-02,183,Sony Pictures Home Entertainment,78,1674
m/1015000-night_and_day,Night and Day,NR,DRAMA,Michael Curtiz,1946-08-03,2017-01-25,128,Warner Bros. Pictures,42,2308
m/1015002-night_at_the_opera,A Night at the Opera,NR,COMEDY,Sam Wood,1935-11-08,2009-01-01,93,MGM,91,20268
m/1015052-night_of_the_living_dead,Night of the Living Dead,NR,HORROR,George A. Romero,1968-10-01,2012-10-13,96,Continental Distributing Inc.,87,130598
m/1015079-night_to_remember,A Night to Remember,NR,ACTION & ADVENTURE,Roy Ward Baker,1958-07-01,2017-03-23,123,Criterion Collection,90,10443
m/1015095-nighthawks,Nighthawks,R,ACTION & ADVENTURE,Bruce Malmuth,1981-04-04,2016-05-23,99,MCA Universal Home Video,54,7370
m/1015196-no_mans_land,No Man's Land,R,ACTION & ADVENTURE,Peter Werner,1987-10-23,2016-11-05,106,Orion Home Video,63,3162
m/1015199-no_mercy,No Mercy,R,ACTION & ADVENTURE,Richard Pearce,1986-12-19,2012-01-01,107,Sony Pictures Home Entertainment,28,3861
m/1015218-no_way_out,No Way Out,R,ACTION & ADVENTURE,Roger Donaldson,1987-08-14,2016-11-30,113,HBO Video,72,20766
m/1015348-nutty_professor,The Nutty Professor,NR,COMEDY,Jerry Lewis,1963-06-04,2013-08-01,107,Paramount Pictures,67,32971
m/1015361-obsession,Obsession,PG,DRAMA,Brian DePalma,1976-08-01,2012-04-16,98,Sony Pictures Home Entertainment,59,2967
m/1015380-odd_couple,The Odd Couple,PG,COMEDY,Gene Saks,1968-01-01,2013-08-01,105,Paramount Home Video,89,31400
